Epm_nEng,InjCtl_qSetUnBal,master
rpm,mg/hub,s
0.0,0.0,0.04062682395306183
0.0,0.0,0.14062682395306184
0.0,0.0,0.24062682395306184
0.0,0.0,0.3406268239530619
0.0,0.0,0.44062682395306185
0.0,0.0,0.5406268239530618
0.0,0.0,0.6406268239530619
0.0,0.0,0.7406268239530619
0.0,0.0,0.8406268239530619
0.0,0.0,0.9406268239530619
0.0,0.0,1.0406268239530618
0.0,0.0,1.140626823953062
0.0,0.0,1.240626823953062
0.0,0.0,1.3406268239530619
0.0,0.0,1.440626823953062
0.0,0.0,1.5406268239530618
0.0,0.0,1.640626823953062
0.0,0.0,1.740626823953062
0.0,0.0,1.8406268239530619
0.0,0.0,1.940626823953062
0.0,0.0,2.040626823953062
0.0,0.0,2.140626823953062
0.0,0.0,2.240626823953062
0.0,0.0,2.340626823953062
0.0,0.0,2.440626823953062
0.0,0.0,2.540626823953062
0.0,0.0,2.640626823953062
0.0,0.0,2.740626823953062
0.0,0.0,2.840626823953062
0.0,0.0,2.940626823953062
0.0,0.0,3.040626823953062
0.0,0.0,3.140626823953062
0.0,0.0,3.240626823953062
0.0,0.0,3.340626823953062
0.0,0.0,3.440626823953062
0.0,0.0,3.540626823953062
0.0,0.0,3.640626823953062
0.0,0.0,3.740626823953062
0.0,0.0,3.840626823953062
0.0,0.0,3.940626823953062
0.0,0.0,4.040626823953062
0.0,0.0,4.140626823953062
0.0,0.0,4.240626823953062
0.0,0.0,4.340626823953062
0.0,0.0,4.440626823953062
0.0,0.0,4.540626823953062
0.0,0.0,4.640626823953062
0.0,0.0,4.740626823953062
0.0,0.0,4.8406268239530625
0.0,0.0,4.940626823953062
0.0,0.0,5.040626823953062
0.0,0.0,5.140626823953062
0.0,0.0,5.240626823953062
0.0,0.0,5.3406268239530625
0.0,0.0,5.440626823953062
0.0,0.0,5.540626823953062
0.0,0.0,5.640626823953062
0.0,0.0,5.740626823953062
0.0,0.0,5.8406268239530625
0.0,0.0,5.940626823953062
0.0,0.0,6.040626823953062
0.0,0.0,6.140626823953062
0.0,0.0,6.240626823953062
0.0,0.0,6.3406268239530625
0.0,0.0,6.440626823953062
0.0,0.0,6.540626823953062
0.0,0.0,6.640626823953062
0.0,0.0,6.740626823953062
0.0,0.0,6.8406268239530625
0.0,0.0,6.940626823953062
0.0,0.0,7.040626823953062
0.0,0.0,7.140626823953062
0.0,0.0,7.240626823953062
0.0,0.0,7.3406268239530625
0.0,0.0,7.440626823953062
0.0,0.0,7.540626823953062
0.0,0.0,7.640626823953062
0.0,0.0,7.740626823953062
0.0,0.0,7.8406268239530625
0.0,0.0,7.940626823953062
0.0,0.0,8.040626823953062
0.0,0.0,8.140626823953061
0.0,0.0,8.240626823953063
0.0,0.0,8.340626823953063
0.0,0.0,8.440626823953062
0.0,0.0,8.540626823953062
0.0,0.0,8.640626823953061
